dataset,LLM,A_rho,A_CI,A_Holm,A_supported,B_delta_R2,B_CI,B_Holm_repaired,B_supported,C_vs_standard,C_vs_standard_Holm,C_vs_random,C_vs_random_Holm,C_distinctive,D_GRU_vs_standard,D_GRU_vs_standard_Holm,D_GRU_vs_random,D_GRU_vs_random_Holm,D_GRU_vs_charlen,D_GRU_vs_charlen_Holm,D_SAKT_vs_standard,D_SAKT_vs_standard_Holm,D_SAKT_vs_random,D_SAKT_vs_random_Holm,D_SAKT_vs_charlen,D_SAKT_vs_charlen_Holm,D_distinctive,final_classification
xes3g5m,gpt-4o-mini,0.1029437013545269,"[0.067410893907124, 0.13573755380398]",1.866186112119848e-08,True,0.0108053020647245,"[0.0037948021927128, 0.0175741206580734]",0.0154198458015419,True,5.551452904321019e-05,1.0,-0.0002344666936515,1.0,False,4.976267855274497e-05,1.0,-0.0001220696944999,1.0,-3.4942117812786225e-05,1.0,0.0001273242278627,1.0,0.0004384719267379,0.0479926917404473,0.0002940149877708,0.0601530649068084,False,MEASUREMENT_ONLY_NO_DEPLOYMENT_SUPPORT
xes3g5m,gpt-5.4,0.1097625967906622,"[0.0759634506588907, 0.1433732067603726]",1.9237736648808272e-09,True,0.0035698178668515,"[-4.923529506625223e-05, 0.0093424538380746]",0.6910430895691043,False,-0.0002824559410223,1.0,-0.0005724371637171,1.0,False,0.000272885964937,1.0,0.0001010535918843,1.0,0.0001881811685714,0.1067002488051573,0.000353888319915,1.0,0.0006650360187902,0.0057214506668447,0.0005205790798231,0.001977513122428,False,NO_DISTINCTIVE_SUPPORT
junyi,gpt-4o-mini,0.2311159281766084,"[0.0801384947856839, 0.3698501021882243]",0.0065142125824992,True,0.042965931675414,"[-0.0145249921748247, 0.243599073162839]",0.6910430895691043,False,-0.0026299219325921,1.0,-0.0012139833874173,1.0,False,-0.0026673296211016,1.0,-0.0004332012431524,1.0,-0.0007914807274354,0.0647583305541037,-0.0061947634656943,0.447331165859254,0.0011320697861082,1.0,-0.0001182381049461,1.0,False,NO_DISTINCTIVE_SUPPORT
junyi,gpt-5.4,0.1015278773962894,"[-0.0607412671633808, 0.2269277043241567]",0.1890268501431515,False,-0.007384630810221,"[-0.0447866537274662, 0.0746556644028149]",0.6910430895691043,False,-0.0033715528134434,1.0,-0.0019556142682685,1.0,False,-0.0040038849696155,1.0,-0.0017697565916663,0.0021312416289177,-0.0021280360759492,0.447331165859254,-0.0097800950025756,0.1405284444115905,-0.002453261750773,0.0927501278593513,-0.0037035696418273,0.0297396999843309,False,NO_DISTINCTIVE_SUPPORT
dbe_kt22,gpt-4o-mini,0.2363520336335554,"[0.0847677877591432, 0.3773582639831774]",0.0065142125824992,True,0.0512441876873542,"[-0.0116721222977075, 0.1449274121789459]",0.6910430895691043,False,0.0038701842515052,1.0,0.0006555396066811,1.0,False,0.0017966072100374,1.0,8.3979747124463e-05,1.0,-8.07242828656074e-05,1.0,0.0001347922433718,1.0,2.7848021678456016e-05,1.0,-2.1656402365588524e-05,1.0,False,NO_DISTINCTIVE_SUPPORT
dbe_kt22,gpt-5.4,0.3537074992060116,"[0.2022873991042916, 0.4778491682899751]",1.1770579586270203e-05,True,0.0462152289647735,"[-0.0064957662218358, 0.1921360899815248]",0.6910430895691043,False,0.0058208360539398,1.0,0.0026061914091158,1.0,False,0.0019288253099091,1.0,0.0002161978469961,1.0,5.149381700609856e-05,1.0,0.0001796615769217,1.0,7.271735522836886e-05,1.0,2.3212931184324324e-05,1.0,False,NO_DISTINCTIVE_SUPPORT
