ID,dataset,model,N,rho,CI_lo,CI_hi,raw_p,holm_p,holm_supported,analysis_status,source_artifact,source_sha256
A_XES_Mini,xes3g5m,gpt-4o-mini,3265,0.1029437013545269,0.067410893907124,0.13573755380398,3.732372224239696e-09,1.866186112119848e-08,True,PRE_RESULT_CONFIRMATORY,artifacts/tlt3d/family_A_confirmatory_results.csv,49078d1e7044608c666cb689551ffec0265ecb957070a37d78b7d0c0f265ebf4
A_XES_5.4,xes3g5m,gpt-5.4,3265,0.1097625967906622,0.0759634506588907,0.1433732067603726,3.2062894414680457e-10,1.9237736648808272e-09,True,PRE_RESULT_CONFIRMATORY,artifacts/tlt3d/family_A_confirmatory_results.csv,49078d1e7044608c666cb689551ffec0265ecb957070a37d78b7d0c0f265ebf4
A_Junyi_Mini,junyi,gpt-4o-mini,169,0.2311159281766084,0.0801384947856839,0.3698501021882243,0.0025007740156317,0.0065142125824992,True,PRE_RESULT_CONFIRMATORY,artifacts/tlt3d/family_A_confirmatory_results.csv,49078d1e7044608c666cb689551ffec0265ecb957070a37d78b7d0c0f265ebf4
A_Junyi_5.4,junyi,gpt-5.4,169,0.1015278773962894,-0.0607412671633808,0.2269277043241567,0.1890268501431515,0.1890268501431515,False,PRE_RESULT_CONFIRMATORY,artifacts/tlt3d/family_A_confirmatory_results.csv,49078d1e7044608c666cb689551ffec0265ecb957070a37d78b7d0c0f265ebf4
A_DBE_Mini,dbe_kt22,gpt-4o-mini,166,0.2363520336335554,0.0847677877591432,0.3773582639831774,0.0021714041941664,0.0065142125824992,True,PRE_RESULT_CONFIRMATORY,artifacts/tlt3d/family_A_confirmatory_results.csv,49078d1e7044608c666cb689551ffec0265ecb957070a37d78b7d0c0f265ebf4
A_DBE_5.4,dbe_kt22,gpt-5.4,166,0.3537074992060116,0.2022873991042916,0.4778491682899751,2.942644896567551e-06,1.1770579586270203e-05,True,PRE_RESULT_CONFIRMATORY,artifacts/tlt3d/family_A_confirmatory_results.csv,49078d1e7044608c666cb689551ffec0265ecb957070a37d78b7d0c0f265ebf4
