dataset,outcome,model_spec,n_items,oof_r2,oof_rmse,oof_mae,incremental_r2_vs_A
xes3g5m,test_smoothed_error_v2,A_surface_only,3279,0.016442843669298046,0.16010474487781093,0.12442198687373353,0.0
xes3g5m,test_smoothed_error_v2,B_surface_gpt4o_scalar,3279,0.024916095605194033,0.15941360951961858,0.12379412431727703,0.008473251935895987
xes3g5m,test_smoothed_error_v2,C_surface_gpt54_scalar,3279,0.017576647754654617,0.16001243719789598,0.12447927833181485,0.0011338040853565712
xes3g5m,test_smoothed_error_v2,D_surface_both_scalar,3279,0.023504900406068896,0.15952892389579,0.12391920558155906,0.00706205673677085
junyi,test_smoothed_error_v2,A_surface_only,183,-0.1427845783962145,0.14644617445567346,0.11290567280910623,0.0
junyi,test_smoothed_error_v2,B_surface_gpt4o_scalar,183,-0.1215908404363315,0.14508184596527313,0.11196601279662319,0.021193737959882997
junyi,test_smoothed_error_v2,C_surface_gpt54_scalar,183,-0.15698145471980451,0.14735302117892604,0.11371288972399345,-0.014196876323590013
junyi,test_smoothed_error_v2,D_surface_both_scalar,183,-0.15653242361409725,0.14732442412974053,0.11324201018285025,-0.013747845217882748
