run_id,dataset,backbone,experiment_type,item_fold,response_limit,condition,training_seed,item_fold_seed,mask_dropout_seed,data_split_hash,mask_hash,score_file_hash,target_item_list_hash,code_sha,config_hash,best_epoch,validation_log_loss,test_log_loss,auc,brier,ece,n_predictions,n_parameters,start_time_utc,wall_time_s,status
sakt_limited_xes3g5m_1_LLM-5.4_2024,xes3g5m,SAKT,response_limited,,1,LLM-5.4,2024,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.546453991661901,0.5524305275212347,0.5012988603627586,0.1815293125637093,0.0485746455372709,231280,1060290,2026-08-08T10:09:33Z,4.455418109893799,ok
sakt_limited_xes3g5m_1_LLM-5.4_42,xes3g5m,SAKT,response_limited,,1,LLM-5.4,42,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5476187312084696,0.5536996589033174,0.5058181443220975,0.1820110524521527,0.0524754297164784,231280,1060290,2026-08-08T10:09:38Z,4.492727041244507,ok
sakt_limited_xes3g5m_1_LLM-5.4_123,xes3g5m,SAKT,response_limited,,1,LLM-5.4,123,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5448852440585261,0.551337239703082,0.5035622898303318,0.1811881795462402,0.0451200805232057,231280,1060290,2026-08-08T10:09:42Z,4.399839162826538,ok
sakt_limited_xes3g5m_1_LLM-5.4_456,xes3g5m,SAKT,response_limited,,1,LLM-5.4,456,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5486732021622036,0.554900796495605,0.4913785750561049,0.1822816640528682,0.0529940887080813,231280,1060290,2026-08-08T10:09:47Z,4.558419942855835,ok
sakt_limited_xes3g5m_1_LLM-5.4_789,xes3g5m,SAKT,response_limited,,1,LLM-5.4,789,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5454792483993198,0.5515797619415508,0.5016530687417509,0.181170639459379,0.0463688076697019,231280,1060290,2026-08-08T10:09:51Z,4.546344995498657,ok
sakt_limited_xes3g5m_1_Random-Scalar_2024,xes3g5m,SAKT,response_limited,,1,Random-Scalar,2024,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5465664578520734,0.5525271096136392,0.500806477170912,0.1815740771587969,0.0489204571107212,231280,1060290,2026-08-08T10:09:56Z,4.467411279678345,ok
sakt_limited_xes3g5m_1_Random-Scalar_42,xes3g5m,SAKT,response_limited,,1,Random-Scalar,42,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.547726042892622,0.5537974990347877,0.5054736123137579,0.1820374778712686,0.0528786397139296,231280,1060290,2026-08-08T10:10:00Z,4.51138973236084,ok
sakt_limited_xes3g5m_1_Random-Scalar_123,xes3g5m,SAKT,response_limited,,1,Random-Scalar,123,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5449613980624987,0.5514047440211803,0.5032082099713687,0.1812166151219548,0.0451740759325322,231280,1060290,2026-08-08T10:10:05Z,4.377670049667358,ok
sakt_limited_xes3g5m_1_Random-Scalar_456,xes3g5m,SAKT,response_limited,,1,Random-Scalar,456,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.5490755024163619,0.5552150540247797,0.4896184174617308,0.1824469203681769,0.0540881208186329,231280,1060290,2026-08-08T10:10:09Z,4.440355062484741,ok
sakt_limited_xes3g5m_1_Random-Scalar_789,xes3g5m,SAKT,response_limited,,1,Random-Scalar,789,,2024,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,a947259140bd1166f16de940060ab4ba139c0eaca9116775a40fcccdc0875b17,e500151f9f5b1be065ea9c8bf10caece2ca67908c5d7ebe65c9153db864c86a9,,e7b16abe3494d8dc23a0ef141f5ef45d957d8222,22aa4a4600a59c3c9cb533f0da95583605cd6e505a709b784061e5e72dcbb7d7,4,0.545927081419074,0.551917883592588,0.4999442820545638,0.1813294611741169,0.0475484070708618,231280,1060290,2026-08-08T10:10:14Z,4.475892066955566,ok
