run_id,dataset,exposure,condition,seed,log_loss,auc,accuracy,n_predictions
pilot_junyi_5_TrainEmpDiff_2024,junyi,5,TrainEmpDiff,2024,0.589621868357295,0.6291999108416622,0.7190369312385227,4901.0
pilot_junyi_10_Standard_2024,junyi,10,Standard,2024,0.5900352693038956,0.658037369187487,0.7202611711895531,4901.0
pilot_junyi_10_LLM-Mini_2024,junyi,10,LLM-Mini,2024,0.5908575622611386,0.6425243118913289,0.7188328912466844,4901.0
pilot_junyi_10_LLM-5.4_2024,junyi,10,LLM-5.4,2024,0.590852080720814,0.6417547660436687,0.7188328912466844,4901.0
pilot_junyi_10_Random-Scalar_2024,junyi,10,Random-Scalar,2024,0.5910563055968769,0.6420148797369993,0.7190369312385227,4901.0
pilot_junyi_10_TrainEmpDiff_2024,junyi,10,TrainEmpDiff,2024,0.5907241180290344,0.6430185279086571,0.7190369312385227,4901.0
pilot_junyi_20_Standard_2024,junyi,20,Standard,2024,0.5841964315210633,0.6533605661060959,0.7182207712711691,4901.0
pilot_junyi_20_LLM-Mini_2024,junyi,20,LLM-Mini,2024,0.5849267836002007,0.6515841849229467,0.7180167312793307,4901.0
pilot_junyi_20_LLM-5.4_2024,junyi,20,LLM-5.4,2024,0.5849078124024534,0.6513905904231279,0.7180167312793307,4901.0
pilot_junyi_20_Random-Scalar_2024,junyi,20,Random-Scalar,2024,0.5850243447420251,0.6512166329649794,0.7180167312793307,4901.0
pilot_junyi_20_TrainEmpDiff_2024,junyi,20,TrainEmpDiff,2024,0.5847197659558896,0.6526027407963961,0.7178126912874924,4901.0
pilot_junyi_warm_Standard_2024,junyi,warm,Standard,2024,0.5863013846630913,0.5942062913380289,0.717608651295654,4901.0
pilot_junyi_warm_LLM-Mini_2024,junyi,warm,LLM-Mini,2024,0.5861273188807299,0.5936438083276685,0.7167924913283004,4901.0
pilot_junyi_warm_LLM-5.4_2024,junyi,warm,LLM-5.4,2024,0.5859926892397909,0.5939027910918977,0.7172005713119771,4901.0
pilot_junyi_warm_Random-Scalar_2024,junyi,warm,Random-Scalar,2024,0.5862218773190947,0.5934519616273699,0.7172005713119771,4901.0
pilot_junyi_warm_TrainEmpDiff_2024,junyi,warm,TrainEmpDiff,2024,0.5858240569815569,0.5942298352256861,0.717608651295654,4901.0
junyi_0_Standard_2024,junyi,0,Standard,2024,0.6925916853038144,0.4985841698284869,0.5376632758881859,429105.0
junyi_0_Standard_42,junyi,0,Standard,42,0.6776732808110529,0.5174036567859227,0.5762622202025145,429105.0
junyi_0_Standard_123,junyi,0,Standard,123,0.6822349155005996,0.4895896569913902,0.5562741054054369,429105.0
junyi_0_Standard_456,junyi,0,Standard,456,0.7284094091659811,0.5002122273294944,0.3460831265074982,429105.0
junyi_0_Standard_789,junyi,0,Standard,789,0.6941784281945489,0.4808468778003413,0.5460178744130224,429105.0
junyi_0_LLM-Mini_2024,junyi,0,LLM-Mini,2024,0.7011748990896304,0.4993908380768915,0.5261322986215495,429105.0
junyi_0_LLM-Mini_42,junyi,0,LLM-Mini,42,0.6726866418926838,0.5132828067063018,0.594073711562438,429105.0
junyi_0_LLM-Mini_123,junyi,0,LLM-Mini,123,0.7310862103641661,0.488103790904635,0.4678295522075016,429105.0
junyi_0_LLM-Mini_456,junyi,0,LLM-Mini,456,0.706164025686582,0.5020378328879346,0.4056699409235502,429105.0
junyi_0_LLM-Mini_789,junyi,0,LLM-Mini,789,0.70060044658475,0.4781391530642768,0.471639808438494,429105.0
junyi_0_LLM-5.4_2024,junyi,0,LLM-5.4,2024,0.6998295280968124,0.4987395815471613,0.5295603640134698,429105.0
junyi_0_LLM-5.4_42,junyi,0,LLM-5.4,42,0.6763643155013894,0.5152952943227821,0.5675743699094628,429105.0
junyi_0_LLM-5.4_123,junyi,0,LLM-5.4,123,0.736805915067793,0.4941845293580613,0.4699455844140711,429105.0
junyi_0_LLM-5.4_456,junyi,0,LLM-5.4,456,0.7037405479047243,0.5000179980954678,0.4158679111173256,429105.0
junyi_0_LLM-5.4_789,junyi,0,LLM-5.4,789,0.7026738137791285,0.4804719868475321,0.4447559455145011,429105.0
junyi_0_Random-Scalar_2024,junyi,0,Random-Scalar,2024,0.7028791450147875,0.498398866894049,0.5146619125854978,429105.0
junyi_0_Random-Scalar_42,junyi,0,Random-Scalar,42,0.6679441558719261,0.5190332485160335,0.6080539728038592,429105.0
junyi_0_Random-Scalar_123,junyi,0,Random-Scalar,123,0.7246624175254436,0.4927956776731924,0.477034758392468,429105.0
junyi_0_Random-Scalar_456,junyi,0,Random-Scalar,456,0.7093520783332312,0.4966541525915149,0.3936588946761282,429105.0
junyi_0_Random-Scalar_789,junyi,0,Random-Scalar,789,0.6980903616345921,0.4819663960494553,0.4992787313128488,429105.0
junyi_0_TrainEmpDiff_2024,junyi,0,TrainEmpDiff,2024,0.7038056283404583,0.4985841582699831,0.5182810733969542,429105.0
junyi_0_TrainEmpDiff_42,junyi,0,TrainEmpDiff,42,0.6655830308306424,0.5174036566616377,0.6111161603803265,429105.0
junyi_0_TrainEmpDiff_123,junyi,0,TrainEmpDiff,123,0.7205504126940441,0.4895896545885471,0.4819845958448398,429105.0
junyi_0_TrainEmpDiff_456,junyi,0,TrainEmpDiff,456,0.7111820111329186,0.5002122073058022,0.3760012118246117,429105.0
junyi_0_TrainEmpDiff_789,junyi,0,TrainEmpDiff,789,0.6965236796627289,0.4808468525842987,0.5292946947716759,429105.0
junyi_1_Standard_2024,junyi,1,Standard,2024,0.651716697942608,0.5426750525128288,0.6582841029584834,429105.0
junyi_1_Standard_42,junyi,1,Standard,42,0.6414370131517424,0.5321685734795654,0.7056687757075774,429105.0
junyi_1_Standard_123,junyi,1,Standard,123,0.642122066199191,0.5111969751777768,0.6774891926218525,429105.0
junyi_1_Standard_456,junyi,1,Standard,456,0.6875074840686982,0.5414112875900794,0.5398096037100476,429105.0
junyi_1_Standard_789,junyi,1,Standard,789,0.6626601493135381,0.5043879045568275,0.6486757320469348,429105.0
junyi_1_LLM-Mini_2024,junyi,1,LLM-Mini,2024,0.6590127916991534,0.5408545090128157,0.6370119201594016,429105.0
junyi_1_LLM-Mini_42,junyi,1,LLM-Mini,42,0.6371721849788557,0.527159182058055,0.7101338833152725,429105.0
junyi_1_LLM-Mini_123,junyi,1,LLM-Mini,123,0.6792468587798769,0.5071534177099154,0.5562764358373825,429105.0
junyi_1_LLM-Mini_456,junyi,1,LLM-Mini,456,0.6675266334472736,0.5463876788759521,0.6417846447839107,429105.0
junyi_1_LLM-Mini_789,junyi,1,LLM-Mini,789,0.6673586274855839,0.500137380176736,0.6421295487118538,429105.0
junyi_1_LLM-5.4_2024,junyi,1,LLM-5.4,2024,0.6581898028137428,0.5403640013028607,0.638114214469652,429105.0
junyi_1_LLM-5.4_42,junyi,1,LLM-5.4,42,0.6401045478748489,0.5275948315904797,0.6972675685438297,429105.0
junyi_1_LLM-5.4_123,junyi,1,LLM-5.4,123,0.6839925354470588,0.514257222980127,0.5532398830123163,429105.0
junyi_1_LLM-5.4_456,junyi,1,LLM-5.4,456,0.6658911649572055,0.5447158947545544,0.6452616492466878,429105.0
junyi_1_LLM-5.4_789,junyi,1,LLM-5.4,789,0.6694484950554371,0.5032527076048425,0.6349471574556343,429105.0
junyi_1_Random-Scalar_2024,junyi,1,Random-Scalar,2024,0.6600666352954542,0.5386827088414758,0.6359539040561168,429105.0
junyi_1_Random-Scalar_42,junyi,1,Random-Scalar,42,0.6330840282085862,0.5383820307875233,0.7168571794782163,429105.0
junyi_1_Random-Scalar_123,junyi,1,Random-Scalar,123,0.6736446651010113,0.515340696746684,0.5625616107945608,429105.0
junyi_1_Random-Scalar_456,junyi,1,Random-Scalar,456,0.6698266562405049,0.5419005553087305,0.630680136563312,429105.0
junyi_1_Random-Scalar_789,junyi,1,Random-Scalar,789,0.6648012277923271,0.5041946950396815,0.6476526724228335,429105.0
junyi_1_TrainEmpDiff_2024,junyi,1,TrainEmpDiff,2024,0.6583921406270956,0.5408285115766122,0.6390370655200941,429105.0
junyi_1_TrainEmpDiff_42,junyi,1,TrainEmpDiff,42,0.6383887011900451,0.5314446754274831,0.7116789596951795,429105.0
junyi_1_TrainEmpDiff_123,junyi,1,TrainEmpDiff,123,0.6813937240690079,0.5090772493383786,0.5545192901504293,429105.0
junyi_1_TrainEmpDiff_456,junyi,1,TrainEmpDiff,456,0.6663491723812522,0.5467049053652971,0.6499877652322859,429105.0
junyi_1_TrainEmpDiff_789,junyi,1,TrainEmpDiff,789,0.6683842999659709,0.5021377638855844,0.6422786963563697,429105.0
junyi_3_Standard_2024,junyi,3,Standard,2024,0.6050175758210904,0.5807957428806083,0.7303084326679951,429105.0
junyi_3_Standard_42,junyi,3,Standard,42,0.6046848975254916,0.5666987176130104,0.726491185141166,429105.0
junyi_3_Standard_123,junyi,3,Standard,123,0.5986475101636833,0.5633819392889169,0.7312126402628727,429105.0
junyi_3_Standard_456,junyi,3,Standard,456,0.624296459879699,0.580715179143259,0.7096608056303236,429105.0
junyi_3_Standard_789,junyi,3,Standard,789,0.6217739918509877,0.5359914367446986,0.703802099719183,429105.0
junyi_3_LLM-Mini_2024,junyi,3,LLM-Mini,2024,0.6075448224487304,0.5729579950528984,0.7303317369874506,429105.0
junyi_3_LLM-Mini_42,junyi,3,LLM-Mini,42,0.599474990327315,0.5688780012181098,0.7259155684506123,429105.0
junyi_3_LLM-Mini_123,junyi,3,LLM-Mini,123,0.6199307560273105,0.5535388492095152,0.72260402465597,429105.0
junyi_3_LLM-Mini_456,junyi,3,LLM-Mini,456,0.6130631170898477,0.579611577298956,0.7268244369093811,429105.0
junyi_3_LLM-Mini_789,junyi,3,LLM-Mini,789,0.6239265146499394,0.5324851859872708,0.7018748325002039,429105.0
junyi_3_LLM-5.4_2024,junyi,3,LLM-5.4,2024,0.6073555201838273,0.5728340520302659,0.7302571631651926,429105.0
junyi_3_LLM-5.4_42,junyi,3,LLM-5.4,42,0.601001221115815,0.5691534855730528,0.7261765768285152,429105.0
junyi_3_LLM-5.4_123,junyi,3,LLM-5.4,123,0.6230140879235091,0.5555604961599326,0.7154542594469885,429105.0
junyi_3_LLM-5.4_456,junyi,3,LLM-5.4,456,0.6125177634043885,0.579405521630433,0.7224735204670185,429105.0
junyi_3_LLM-5.4_789,junyi,3,LLM-5.4,789,0.6256281814415227,0.5360940633041691,0.6974540030994745,429105.0
junyi_3_Random-Scalar_2024,junyi,3,Random-Scalar,2024,0.6077905260223893,0.5723140389127623,0.7301289894081868,429105.0
junyi_3_Random-Scalar_42,junyi,3,Random-Scalar,42,0.5963672692195185,0.5814325613063871,0.7263746635438879,429105.0
junyi_3_Random-Scalar_123,junyi,3,Random-Scalar,123,0.6153844602087029,0.562687940807311,0.7257943859894431,429105.0
junyi_3_Random-Scalar_456,junyi,3,Random-Scalar,456,0.6141727321051766,0.5776463130195151,0.7231237109798301,429105.0
junyi_3_Random-Scalar_789,junyi,3,Random-Scalar,789,0.621960251995603,0.5354175243773778,0.7044569510958856,429105.0
junyi_3_TrainEmpDiff_2024,junyi,3,TrainEmpDiff,2024,0.6070496114386358,0.5746538157386587,0.7304319455611098,429105.0
junyi_3_TrainEmpDiff_42,junyi,3,TrainEmpDiff,42,0.6024964086976182,0.5649252680831757,0.7263280549049766,429105.0
junyi_3_TrainEmpDiff_123,junyi,3,TrainEmpDiff,123,0.6246679966644377,0.5456821097245416,0.7139208352268093,429105.0
junyi_3_TrainEmpDiff_456,junyi,3,TrainEmpDiff,456,0.6115703597155767,0.5818736240851807,0.7278428356695914,429105.0
junyi_3_TrainEmpDiff_789,junyi,3,TrainEmpDiff,789,0.6266153928924147,0.5279121377741195,0.7002481910022023,429105.0
junyi_5_Standard_2024,junyi,5,Standard,2024,0.5759180960294962,0.6199785036903873,0.7301126763845679,429105.0
junyi_5_Standard_42,junyi,5,Standard,42,0.5780937414147413,0.6019699975598903,0.7265774111231517,429105.0
junyi_5_Standard_123,junyi,5,Standard,123,0.5805950036477635,0.5922987353677117,0.731205648967036,429105.0
junyi_5_Standard_456,junyi,5,Standard,456,0.5799287617138078,0.6143603742680459,0.7326202211579916,429105.0
junyi_5_Standard_789,junyi,5,Standard,789,0.5937600788327287,0.5572481055023901,0.7209634005662949,429105.0
junyi_5_LLM-Mini_2024,junyi,5,LLM-Mini,2024,0.5774106842117799,0.6171484364737383,0.7300753894734389,429105.0
junyi_5_LLM-Mini_42,junyi,5,LLM-Mini,42,0.5779945525535345,0.6011821705010596,0.7273394623693502,429105.0
junyi_5_LLM-Mini_123,junyi,5,LLM-Mini,123,0.5906283709777432,0.5841630456062036,0.7303177543957773,429105.0
junyi_5_LLM-Mini_456,junyi,5,LLM-Mini,456,0.5761324699511271,0.6182022227828612,0.7325526386315704,429105.0
junyi_5_LLM-Mini_789,junyi,5,LLM-Mini,789,0.5939377581750027,0.5561847788706102,0.7215786345999231,429105.0
junyi_5_LLM-5.4_2024,junyi,5,LLM-5.4,2024,0.5774398202941473,0.6171756587937153,0.7300730590414933,429105.0
junyi_5_LLM-5.4_42,junyi,5,LLM-5.4,42,0.5782629504737649,0.6011211477744207,0.7267288891996131,429105.0
junyi_5_LLM-5.4_123,junyi,5,LLM-5.4,123,0.5917443963417447,0.5846037061435452,0.728858903997856,429105.0
junyi_5_LLM-5.4_456,junyi,5,LLM-5.4,456,0.5761552254110468,0.6179884632680611,0.7324477691940201,429105.0
junyi_5_LLM-5.4_789,junyi,5,LLM-5.4,789,0.5945895010137277,0.5587800588233194,0.7212430523997623,429105.0
junyi_5_Random-Scalar_2024,junyi,5,Random-Scalar,2024,0.5774097894528846,0.6167110473105571,0.73008005033733,429105.0
junyi_5_Random-Scalar_42,junyi,5,Random-Scalar,42,0.5757277033621658,0.6127917864284937,0.7283298959462137,429105.0
junyi_5_Random-Scalar_123,junyi,5,Random-Scalar,123,0.587308238279528,0.5925788604273609,0.7307838407848894,429105.0
junyi_5_Random-Scalar_456,junyi,5,Random-Scalar,456,0.5765770064365843,0.6168926277577644,0.7325153517204414,429105.0
junyi_5_Random-Scalar_789,junyi,5,Random-Scalar,789,0.5926485621409598,0.5588966143602012,0.721594947623542,429105.0
junyi_5_TrainEmpDiff_2024,junyi,5,TrainEmpDiff,2024,0.5773414109173443,0.6176325965489914,0.7300707286095478,429105.0
junyi_5_TrainEmpDiff_42,junyi,5,TrainEmpDiff,42,0.5798408380897272,0.5959734109375459,0.7268920194358024,429105.0
junyi_5_TrainEmpDiff_123,junyi,5,TrainEmpDiff,123,0.5934891000989797,0.5766412287487648,0.729851668006665,429105.0
