dataset,model,n,mean,std,median,iqr,min,max,floor_concentration,ceiling_concentration,n_unique,prop_mode_value
xes3g5m,gpt-4o-mini,100,0.5490000000000002,0.1604885218841698,0.6,0.29999999999999993,0.2,0.8,0.0,0.0,7,0.32
xes3g5m,gpt-5.4,100,0.35230000000000006,0.23519540554160237,0.3,0.275,0.0,0.9,0.03,0.0,23,0.14
junyi,gpt-4o-mini,100,0.617,0.23615394739171072,0.7,0.4,0.1,1.0,0.0,0.09,10,0.2
junyi,gpt-5.4,100,0.4246999999999999,0.3365404954095496,0.22,0.6000000000000001,0.0,0.99,0.08,0.14,25,0.15
