dataset,exposure,condition,log_loss_mean,log_loss_std,auc_mean,auc_std,brier_mean,brier_std,ece_mean,ece_std
junyi,0,LLM-5.4,0.7038828240699695,0.021558695411170843,0.4977418780342009,0.012502024130478961,0.2552295686817726,0.010485026244102531,0.23465404834355433,0.01949031974897176
junyi,0,LLM-Mini,0.7023424447235624,0.020764590690197527,0.4961908843280079,0.01348912899059248,0.2544853974673065,0.010147662068360458,0.23322405199486956,0.01978305289702478
junyi,0,Random-Scalar,0.7005856316759961,0.020817629082803407,0.49776966834484904,0.013493184449479766,0.25362436687036416,0.010203802572045256,0.23178940624286523,0.020700432464446843
junyi,0,Standard,0.6950175437951993,0.01991120678118873,0.49732731774712713,0.013642196161762236,0.25092761545687214,0.009880644612016558,0.2251125244050376,0.023727524192157814
junyi,0,TrainEmpDiff,0.6995289525321585,0.020960336252342074,0.49732730588205376,0.0136422027474862,0.2531186724673291,0.010312542266229265,0.2306764669910529,0.021770931918578856
junyi,1,LLM-5.4,0.659526593300311,0.017414248857451565,0.5330684725009531,0.02322823732019015,0.23340661602870913,0.008543035061080149,0.18714823519773913,0.02383048271787434
junyi,1,LLM-Mini,0.658403720889779,0.0166363347796951,0.5317720277488015,0.025712533978626707,0.23285084074324439,0.00815962780669677,0.18572046123815802,0.023401659880831083
junyi,1,Random-Scalar,0.6570083508255659,0.01644313435630709,0.5343630604804588,0.02224171542733394,0.23216244318450416,0.008059263962800075,0.18429167420398881,0.02352867867121645
junyi,1,Standard,0.6532629519335486,0.01945900127736532,0.5343484220375047,0.025098946494465046,0.23033954756486372,0.00955917080080187,0.17885471676587503,0.02866825828183555
junyi,1,TrainEmpDiff,0.6587448548447776,0.01700723390256227,0.5333447304365966,0.025041476384670705,0.2330106172929829,0.008351783587395944,0.1865110315763083,0.02353019632761472
junyi,10,LLM-5.4,0.5628279654583024,0.013858379801465974,0.6516201294902993,0.010078151436027022,0.18887441548227904,0.005814406283955333,0.041165025479315505,0.020395346080556532
junyi,10,LLM-Mini,0.5629803672585968,0.01380231854078226,0.651938603074521,0.009741771672292608,0.18892692199970573,0.005792990102074069,0.04236249727454932,0.020168372736484943
junyi,10,Random-Scalar,0.562597016007884,0.014027768911173482,0.6534461854956578,0.009425700418568213,0.18878399004928145,0.005885817914277336,0.0427080106312151,0.020072484343930302
junyi,10,Standard,0.562377006688528,0.013674945312023588,0.6563633211832304,0.006734467465003596,0.18868361924766827,0.0057111598476827195,0.044453920811554554,0.021881452829484716
junyi,10,TrainEmpDiff,0.5633867430899896,0.01366510675493103,0.6495207329657744,0.012218822637880107,0.18910287630321174,0.005730226156854763,0.039750742386212685,0.02176583012388107
junyi,20,LLM-5.4,0.5470314525975888,0.0187831542928445,0.6868386378745722,0.018662214005539086,0.18252723755383501,0.007709805060621173,0.0431602448852427,0.01981927257665125
junyi,20,LLM-Mini,0.5469543014628414,0.018832730635179873,0.6871901703854215,0.018644245590994542,0.18249259229061468,0.007731531094375328,0.04339109542663256,0.01953721724569163
junyi,20,Random-Scalar,0.5467130275526463,0.018977970080881236,0.6879122041456123,0.018975772948069805,0.1824060273588417,0.007787592100640746,0.04331080872341445,0.019183932237749442
junyi,20,Standard,0.547286963178823,0.018182536203117137,0.687699527564588,0.01733366555119833,0.1825705783463838,0.0074900885712331725,0.04387853255005658,0.013981425519713611
junyi,20,TrainEmpDiff,0.5471836596204187,0.018654076620551817,0.6865797035978556,0.018231010571729486,0.18258657516111998,0.007652758953467127,0.04274013007796307,0.02034449991078788
junyi,3,LLM-5.4,0.611095342165754,0.011561004489681684,0.5676134817445865,0.019664263341370523,0.20998898004079602,0.00545689508823307,0.11808406255493238,0.025817786338743768
junyi,3,LLM-Mini,0.610141715757538,0.01086258971140941,0.5666592149099694,0.021067855217516612,0.20951850404044148,0.005104172730848446,0.11617197721363244,0.02505794021659269
junyi,3,Random-Scalar,0.6087693521035428,0.01040806117638482,0.570291600296701,0.01969032718474461,0.20887019291956047,0.0048817733984984945,0.11435255887178797,0.02451909134710793
junyi,3,Standard,0.6083949614321024,0.011890617142367542,0.5693934916888929,0.018936981833351227,0.20868213953159787,0.005588464108903714,0.11268910848826917,0.028646045094161833
junyi,3,TrainEmpDiff,0.6115408218286223,0.011979157689142041,0.56478523814873,0.024281625342951363,0.2101835852708248,0.005679518755556527,0.11812536018603233,0.025773371038790734
junyi,5,LLM-5.4,0.5846701375988911,0.00825694050296572,0.6012978086863535,0.025832074091890953,0.19793929440437844,0.00375248769989592,0.07042019503583756,0.012436003912126792
junyi,5,LLM-Mini,0.5843212374743999,0.007967080738993904,0.6008889053645051,0.026840975014511406,0.19776150194113995,0.003613385365675209,0.06920714144243911,0.011280681628051676
junyi,5,Random-Scalar,0.5832586040698541,0.0075363768398495085,0.6043941226866327,0.025174821319607087,0.19728919947283938,0.0034208487917169413,0.06766629221163785,0.009839793614312394
junyi,5,Standard,0.5824499572392502,0.00655733025231869,0.6035886402206004,0.02717274983462423,0.19693606000367714,0.003007867284878122,0.06529855500603574,0.007944936079926131
junyi,5,TrainEmpDiff,0.585281590443,0.00877732557549159,0.5985392889711755,0.02993502428122759,0.19820500288105225,0.0040105434082451825,0.07046659012175265,0.012378014751350338
junyi,warm,LLM-5.4,0.4873113664884889,0.04834605856684046,0.7537216666967473,0.07829549921284579,0.15906160951817763,0.01976212056256531,0.012943813528464,0.017373559496815676
