dataset,backbone,condition,seed,n_folds,status,primary_log_loss,primary_auc,primary_brier,primary_ece,primary_n,secondary_log_loss,secondary_auc,secondary_brier,secondary_ece,secondary_n
junyi,GRU,Random-Scalar,2024,5,ok,0.7716384068408093,0.5640165838152195,0.27121950933405453,0.13155571132859248,49181,0.5293966788327641,0.7059747630018691,0.17344669550609398,0.04474526263058169,429105
junyi,GRU,Standard,42,5,ok,0.7637143786537618,0.5682347171406535,0.26879320171916415,0.12835084281485928,49181,0.5253209166399925,0.7048282290634718,0.1719746601209251,0.02649024123954115,429105
junyi,GRU,Standard,123,5,ok,0.766240466779663,0.5653099523793059,0.2699826299343607,0.14440488570479668,49181,0.529190562653868,0.7060496472329817,0.17340962180846686,0.040768671941650104,429105
junyi,GRU,Standard,456,5,ok,0.7571477734859916,0.5712214953165107,0.26706043165009175,0.1272299552557477,49181,0.523976664110157,0.7118822512368846,0.17161033684856786,0.03303430586314673,429105
junyi,GRU,Standard,789,5,ok,0.7683837387100084,0.5670224554759983,0.2701098155721787,0.13397828088108102,49181,0.5280932552332362,0.7088549632880274,0.17295802796498064,0.04132276559307926,429105
junyi,GRU,Standard,2024,5,ok,0.7568504991753154,0.5652545681235961,0.2674754180615806,0.12328804349991276,49181,0.5218660685377747,0.7100723745924499,0.17109222531135754,0.022266050949243867,429105
junyi,SAKT,CharacterLength,42,5,ok,0.7484940470083482,0.5695184824280759,0.2673509827207343,0.1470615172438707,49181,0.5257938908233337,0.7038587378169722,0.17319693606619624,0.017919342252975663,429105
junyi,SAKT,CharacterLength,123,5,ok,0.7589863536391648,0.572645379998609,0.2708308748262424,0.16458731931067194,49181,0.5252965023125742,0.7089567557571484,0.1729607542589442,0.03318214776011506,429105
junyi,SAKT,CharacterLength,456,5,ok,0.7557933891652889,0.5730334106688849,0.268966765175492,0.15505212189825515,49181,0.5249691008092624,0.7074254981835699,0.1725803266346097,0.029628999789440575,429105
junyi,SAKT,CharacterLength,789,5,ok,0.7534467335553654,0.5663316016490888,0.2694794165069094,0.15855412323187143,49181,0.5246765903458821,0.7047915316842649,0.17267133129660456,0.023652246452503238,429105
junyi,SAKT,CharacterLength,2024,5,ok,0.7528193303924486,0.5710327322182434,0.26911954210918015,0.15569536817100244,49181,0.5262946803900266,0.7068209895455703,0.17346175680451031,0.028447814254675297,429105
junyi,SAKT,LLM-5.4,42,5,ok,0.7510669656261251,0.5669773495572169,0.26843279783664037,0.14058907066529117,49181,0.5267452674236177,0.7024413931362403,0.17360489343217433,0.01708653746435939,429105
junyi,SAKT,LLM-5.4,123,5,ok,0.7625828834108869,0.5704731156345167,0.27249430915352363,0.16911373807318109,49181,0.526176325341361,0.7076394139936446,0.17334259332090085,0.03588765348556611,429105
junyi,SAKT,LLM-5.4,456,5,ok,0.7595820495706462,0.571258397494238,0.2706318251273392,0.15876236002768718,49181,0.5259599283321784,0.7060384403177116,0.17298802170513028,0.02992279313338794,429105
junyi,SAKT,LLM-5.4,789,5,ok,0.7586050930454902,0.5659359325797917,0.2716458834937059,0.1604857364482462,49181,0.5261575562305476,0.7028406662623389,0.17328876972263899,0.02387129620162616,429105
junyi,SAKT,LLM-5.4,2024,5,ok,0.7562207103166045,0.5682802878962174,0.2706629622484178,0.15286147878804393,49181,0.5277492855163788,0.7044476589634714,0.17405424087844637,0.027409816881725793,429105
junyi,SAKT,LLM-Mini,42,5,ok,0.7481746630176781,0.5703041462077482,0.2673683008965268,0.14766838505222724,49181,0.5259008756438005,0.703929043472062,0.17326846895865367,0.01880596090073037,429105
junyi,SAKT,LLM-Mini,123,5,ok,0.7593809045459454,0.5734393346238855,0.271258515081916,0.16004524887667365,49181,0.5253549983393451,0.7089590128829673,0.17301379838365372,0.03439656818011399,429105
junyi,SAKT,LLM-Mini,456,5,ok,0.7551389523553141,0.5746777410543134,0.26896658124509965,0.156973758419234,49181,0.5252879347033481,0.7069111949668871,0.17269810972316396,0.02946042582034842,429105
junyi,SAKT,LLM-Mini,789,5,ok,0.7549038216099776,0.56918958820952,0.27023103497791023,0.16141498599671297,49181,0.5253210767049018,0.7040970518330995,0.17292991936394012,0.024187574865688958,429105
junyi,SAKT,LLM-Mini,2024,5,ok,0.7525327027564315,0.571994451044829,0.2691965325159718,0.155324771974559,49181,0.5269982499513766,0.7058597420117076,0.17373213124692685,0.02884425752893588,429105
junyi,SAKT,Random-Scalar,42,5,ok,0.7488775641325435,0.5685712489206867,0.2674079373038365,0.146221407295329,49181,0.5256473221074214,0.7043659619956206,0.17316256898745505,0.018469603361348737,429105
junyi,SAKT,Random-Scalar,123,5,ok,0.760168812673814,0.5714857814100122,0.2712064158648772,0.16613392534674418,49181,0.5255095919721574,0.709287402345935,0.17306947651967838,0.034242093941612164,429105
junyi,SAKT,Random-Scalar,456,5,ok,0.756736231176382,0.5732804031589885,0.2691702541606281,0.15575314045379,49181,0.5249963676479332,0.7079592997535945,0.17261563832405794,0.030428830159186147,429105
junyi,SAKT,Random-Scalar,789,5,ok,0.7550175967269069,0.5681067396177549,0.2698033267252386,0.15653909618047343,49181,0.5248535492662817,0.7050580856105958,0.1727648349511706,0.023857828514880247,429105
junyi,SAKT,Random-Scalar,2024,5,ok,0.7549911885062414,0.5688487447542498,0.2698427997286808,0.15799264980396033,49181,0.526856912013591,0.706528314243286,0.17369192865558075,0.029814365991313742,429105
junyi,SAKT,Standard,42,5,ok,0.746009475251954,0.5722148858600902,0.26605384576583363,0.13443729595455456,49181,0.525567193823191,0.7049654050952138,0.17314703567927353,0.019823136158180085,429105
junyi,SAKT,Standard,123,5,ok,0.7508921525767439,0.572707979693745,0.26731602876871846,0.1434885617030845,49181,0.5252382364295757,0.7039233383493086,0.17273084131212885,0.02630732510859573,429105
junyi,SAKT,Standard,456,5,ok,0.7443203402692348,0.5774890286877463,0.2650724763925815,0.13155901159031697,49181,0.5242057944927864,0.7055799129022287,0.17246248794215285,0.018777154690504994,429105
junyi,SAKT,Standard,789,5,ok,0.7513555302214338,0.5709828640256863,0.26824233993699137,0.15372340103170842,49181,0.5251928730703332,0.7066531804824123,0.17282346410772434,0.030797298130086092,429105
