dataset,model,n_items,n_numeric_features,n_categorical_features,oof_r2,oof_rmse,oof_mae,chosen_alphas
xes3g5m,gpt-4o-mini,3279,5,0,0.33425700171928385,0.13626888045879348,0.1143716453073614,"[10.0, 10.0, 10.0, 10.0, 10.0]"
xes3g5m,gpt-5.4,3279,5,0,0.25660059689516834,0.15501798583679596,0.11339236196900586,"[10.0, 10.0, 1.0, 10.0, 10.0]"
junyi,gpt-4o-mini,183,4,1,0.32307069726680315,0.1563514662767256,0.12866975863028257,"[10.0, 1.0, 10.0, 10.0, 1.0]"
junyi,gpt-5.4,183,4,1,0.20226445297013584,0.28258401594116445,0.2373111381776728,"[1.0, 0.1, 1.0, 1.0, 1.0]"
