dataset,response_limit,condition,test_log_loss_mean,test_log_loss_std,auc_mean,auc_std,brier_mean,brier_std,ece_mean,ece_std
junyi,20,LLM-5.4,0.5669032193018534,0.0011843498273922805,0.6169643164313199,0.005837031544415854,0.190706976992641,0.0004883474411872656,0.01905209695692386,0.0028815730581929254
junyi,20,LLM-Mini,0.5668799678115489,0.0012218430618964992,0.6169882124625062,0.005854659226805153,0.19070191975557765,0.0005048961549936583,0.01907596172000984,0.002864923967935572
junyi,20,Random-Scalar,0.5669391142567856,0.0011596319963695272,0.6168752978266664,0.005663842197913265,0.19072447786348273,0.00048333054963452406,0.019239099344769202,0.003003631754520193
junyi,20,Standard,0.5667784093927912,0.00040253610180742517,0.6168979068012055,0.0032148653140175987,0.19061238669109196,0.0003596272408524402,0.01985173657277964,0.004175547432009259
junyi,20,TrainEmpDiff,0.566506558016955,0.001368031580978196,0.6179749152103218,0.005896988353414642,0.19054741950281934,0.0005702025314141064,0.01868889465875806,0.0030703376531548807
junyi,3,CharacterLength,0.5865686182374689,0.005225378521739205,0.5502590148073738,0.01560168847385313,0.1986646484047467,0.0022415734585557725,0.0393385290333628,0.007240498447559677
junyi,3,LLM-5.4,0.586635913190922,0.005097343943081028,0.5504014088310101,0.014465387121704571,0.19869177632382307,0.0022090181152421445,0.039438692554394784,0.007372899845244363
junyi,3,LLM-Mini,0.5867211949949461,0.005380460872338374,0.5504106644499068,0.015096629703894528,0.19873648963677576,0.0023271450445648684,0.03951900280593172,0.008048251309360039
junyi,3,Random-Scalar,0.5865676363311026,0.0051263151017858066,0.5505777165374061,0.014146676012824265,0.19867794726006946,0.0022060969122881225,0.039426081312351216,0.0076366274766086996
junyi,3,Standard,0.5872548161679595,0.00531831900014014,0.5487980986111521,0.01272722176915208,0.19894832693926132,0.0023480999017305706,0.04044934191155512,0.008738795835724372
junyi,3,TrainEmpDiff,0.5867186391371664,0.005680654656185976,0.550010795007208,0.016837532348665463,0.19873302697567,0.002436320370322367,0.03973245930810454,0.007920345822604981
junyi,5,CharacterLength,0.5836659614792931,0.00580395706690848,0.5637249548769245,0.01340157161921109,0.19756501147854483,0.0025457450452542516,0.03669002567814304,0.012337961834653013
junyi,5,LLM-5.4,0.5836528524532097,0.005583709585712588,0.5639007319002404,0.012303401730232274,0.19754977896036174,0.002462685586146231,0.03686642763748578,0.012571948672177301
junyi,5,LLM-Mini,0.5837022153410378,0.005834248684993124,0.5638911716809383,0.013044272663460772,0.1975793873687208,0.002563575571603942,0.03701351531764874,0.012549137366802044
