dataset,backbone,condition,metric,mean_delta_vs_standard,std_delta,n_seeds,seed_42,seed_123,seed_456,seed_789,seed_2024,mean_delta_vs_random,mean_delta_vs_charlen
junyi,GRU,CharacterLength,primary_log_loss,0.0018758488936662543,0.008731639718385404,5,-0.0006736643760976158,-0.004182884977411261,0.004450090457914113,-0.005991231269145358,0.015776934633071393,-0.0003582794842829751,0.0
junyi,GRU,LLM-5.4,primary_log_loss,0.004003884969615545,0.008204241039148897,5,0.0008224095461530911,-0.00023892281913662217,0.00717631757675985,-0.004406119560584454,0.016665740104885862,0.0017697565916663161,0.002128036075949291
junyi,GRU,LLM-Mini,primary_log_loss,0.0026673296211016774,0.008646237576655598,5,0.00015486798482178266,-0.0029688465250164997,0.005086644765584514,-0.005392410581100737,0.016456392461219327,0.0004332012431524479,0.000791480727435423
junyi,GRU,Random-Scalar,primary_log_loss,0.0022341283779492294,0.008128507967516125,5,-0.0007485362520638361,-0.0023237067127312994,0.005404484177348956,-0.005949506988301545,0.014787907665493871,0.0,0.0003582794842829751
junyi,SAKT,CharacterLength,primary_log_loss,0.006076525360748231,0.003937162613095734,5,0.0024845717563941605,0.00809420106242087,0.011473048896054161,0.002091203333931646,0.006239601754940316,-0.0012503078910543585,0.0
junyi,SAKT,LLM-5.4,primary_log_loss,0.009780095002575618,0.003950460881390603,5,0.005057490374171025,0.01169073083414296,0.015261709301411464,0.007249562824056421,0.009640981679096217,0.002453261750773028,0.0037035696418273867
junyi,SAKT,LLM-Mini,primary_log_loss,0.0061947634656943865,0.0035334868113380572,5,0.0021651877657240526,0.008488751969201513,0.010818612086079371,0.003548291388543845,0.005952974118923149,-0.001132069786108203,0.00011823810494615561
junyi,SAKT,Random-Scalar,primary_log_loss,0.007326833251802589,0.004005860210895049,5,0.0028680888805894256,0.009276660097070066,0.012415890907147231,0.0036620665054731827,0.00841145986873304,0.0,0.0012503078910543585
xes3g5m,GRU,CharacterLength,primary_log_loss,-8.470479636553118e-05,0.0005609925452381717,5,0.0005483715432936243,0.0003721953712366166,-0.0008210517755830038,-0.00011223236585095053,-0.0004108067549239425,8.712757668714045e-05,0.0
xes3g5m,GRU,LLM-5.4,primary_log_loss,-0.0002728859649370308,0.0005683197259016147,5,0.0003094107075288788,0.00021209208497774412,-0.0010159354706775203,-0.00019730911598392353,-0.0006726880305303329,-0.00010105359188435913,-0.00018818116857149958
xes3g5m,GRU,LLM-Mini,primary_log_loss,-4.976267855274497e-05,0.0005735849404501705,5,0.0004839921356002974,0.0004781683613210297,-0.0008043239167201954,5.731645704964983e-05,-0.0004639664300145063,0.00012206969449992666,3.4942117812786225e-05
xes3g5m,GRU,Random-Scalar,primary_log_loss,-0.00017183237305267162,0.0005350041698875903,5,0.00045936646969380046,0.0002343143520460722,-0.0008995534227489443,-0.000281705181168157,-0.00037158408308612945,0.0,-8.712757668714045e-05
xes3g5m,SAKT,CharacterLength,primary_log_loss,0.0001666907599081835,0.00249765429030357,5,-0.0037748496128551245,0.0022306461596686145,0.002049000304437887,0.001062759058816809,-0.0007341021105272683,-0.0001444569389670969,0.0
xes3g5m,SAKT,LLM-5.4,primary_log_loss,-0.0003538883199150078,0.0025104915171774204,5,-0.00433663076616897,0.0017840457886842964,0.0014820406830148292,0.0004891800675262958,-0.0011880773726314908,-0.0006650360187902882,-0.0005205790798231913
xes3g5m,SAKT,LLM-Mini,primary_log_loss,-0.0001273242278627018,0.0025232745622300714,5,-0.004132126543472725,0.0020453034597683883,0.0017158222729971584,0.000677021977187775,-0.0009426423057941058,-0.0004384719267379822,-0.0002940149877708853
xes3g5m,SAKT,Random-Scalar,primary_log_loss,0.00031114769887528035,0.002497173879864638,5,-0.0036159390253692747,0.002319633527999243,0.002293481594039859,0.0011612691409527143,-0.0006027067432461397,0.0,0.0001444569389670969
