dataset,model,calibration_type,slope,intercept,brier_style_mse,ece_binned_10
xes3g5m,gpt-4o-mini,linear_oof,0.11463324730245734,0.16771047303578182,0.025705821480641194,0.12442290617291278
xes3g5m,gpt-5.4,linear_oof,0.06988502671023004,0.2093869922632825,0.025946741572081225,0.12446356472922923
junyi,gpt-4o-mini,linear_oof,0.16951780191510146,0.21920131632957188,0.018053981580708978,0.10628438026177803
junyi,gpt-5.4,linear_oof,0.0675655632038747,0.29275763735308746,0.018815980083135488,0.10598751806891754
