dataset,model_spec,n_items,oof_r2,delta_r2_vs_surface,oof_rmse,oof_mae,selected_alpha_median,selected_alpha_values,preprocessing
xes3g5m,Surface features only,3279,0.014469633099186363,0.0,0.16026526533252347,0.12449962931917534,100.0,100.0;100.0;100.0;100.0;100.0,"fold-internal imputation, scaling, one-hot encoding; RidgeCV alpha selection on training fold"
xes3g5m,Surface + GPT-4o-mini score,3279,0.02379382912420913,0.009324196025022768,0.15950532116726018,0.12386121178025505,100.0,100.0;100.0;100.0;100.0;100.0,"fold-internal imputation, scaling, one-hot encoding; RidgeCV alpha selection on training fold"
xes3g5m,Surface + GPT-5.4 score,3279,0.01575637155004983,0.0012867384508634672,0.16016060755547523,0.12455566083988621,100.0,100.0;100.0;100.0;100.0;100.0,"fold-internal imputation, scaling, one-hot encoding; RidgeCV alpha selection on training fold"
xes3g5m,Surface + both LLM scores,3279,0.022381416070109794,0.007911782970923431,0.15962066871104177,0.12399609432254685,100.0,100.0;100.0;100.0;100.0;100.0,"fold-internal imputation, scaling, one-hot encoding; RidgeCV alpha selection on training fold"
junyi,Surface features only,183,0.03532223318156957,0.0,0.13455101567602248,0.10450045943120814,10.0,1.0;10.0;10.0;10.0;100.0,"fold-internal imputation, scaling, one-hot encoding; RidgeCV alpha selection on training fold"
junyi,Surface + GPT-4o-mini score,183,0.050496372128542966,0.015174138946973392,0.13348859437229452,0.10392115422799098,10.0,1.0;10.0;10.0;10.0;100.0,"fold-internal imputation, scaling, one-hot encoding; RidgeCV alpha selection on training fold"
junyi,Surface + GPT-5.4 score,183,0.05031982087914144,0.014997587697571868,0.1335010042683629,0.10443485852127007,100.0,100.0;100.0;100.0;10.0;100.0,"fold-internal imputation, scaling, one-hot encoding; RidgeCV alpha selection on training fold"
junyi,Surface + both LLM scores,183,0.04867294480038087,0.013350711618811295,0.13361670868186212,0.10497690011427604,100.0,100.0;10.0;100.0;100.0;100.0,"fold-internal imputation, scaling, one-hot encoding; RidgeCV alpha selection on training fold"
