run_id,dataset,exposure,condition,seed,status,mask_hash,split_hash,universe_hash,log_loss,brier,auc,accuracy,ece,n_predictions,best_val_log_loss,best_epoch,n_parameters,deployable,config_hash,code_commit,start_time_utc,wall_time_s
pilot_xes3g5m_5_LLM-Mini_2024,xes3g5m,5,LLM-Mini,2024,ok,bd9851023c8fb0ebac3aa871f6d7f7bce0a2dc2a78e3ecd95a6fd2899589dcb8,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.565421138676164,0.189175511607939,0.5516908199812826,0.746,0.0208283257136742,12000.0,0.527670661608378,6.0,178146.0,True,,,,
pilot_xes3g5m_5_LLM-5.4_2024,xes3g5m,5,LLM-5.4,2024,ok,bd9851023c8fb0ebac3aa871f6d7f7bce0a2dc2a78e3ecd95a6fd2899589dcb8,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5655035929823633,0.1892105163217077,0.5518422546377414,0.746,0.0218091545403003,12000.0,0.5279735326766968,6.0,178146.0,True,,,,
pilot_xes3g5m_5_Random-Scalar_2024,xes3g5m,5,Random-Scalar,2024,ok,bd9851023c8fb0ebac3aa871f6d7f7bce0a2dc2a78e3ecd95a6fd2899589dcb8,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.565247664273086,0.1891041247242597,0.5524377864504537,0.746,0.0205478927890459,12000.0,0.527467668056488,6.0,178146.0,True,,,,
pilot_xes3g5m_5_TrainEmpDiff_2024,xes3g5m,5,TrainEmpDiff,2024,ok,bd9851023c8fb0ebac3aa871f6d7f7bce0a2dc2a78e3ecd95a6fd2899589dcb8,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5655538732555482,0.1892304631191862,0.5516159272609356,0.746,0.0220493093977372,12000.0,0.5280856490135193,6.0,178146.0,True,,,,
pilot_xes3g5m_10_Standard_2024,xes3g5m,10,Standard,2024,ok,79fe6748a2c3e31bcb4404c3480ec21f5e050972cefe5c21dacee11b2c3b6a44,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5655502491578123,0.1892537351426702,0.5633310581485624,0.74575,0.0335145999218026,12000.0,0.5306287805239359,6.0,178145.0,True,,,,
pilot_xes3g5m_10_LLM-Mini_2024,xes3g5m,10,LLM-Mini,2024,ok,79fe6748a2c3e31bcb4404c3480ec21f5e050972cefe5c21dacee11b2c3b6a44,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5637932431285013,0.1885029421927793,0.5586130000129005,0.746,0.0152615447342395,12000.0,0.5248819589614868,6.0,178146.0,True,,,,
pilot_xes3g5m_10_LLM-5.4_2024,xes3g5m,10,LLM-5.4,2024,ok,79fe6748a2c3e31bcb4404c3480ec21f5e050972cefe5c21dacee11b2c3b6a44,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5638354810585067,0.1885199729662512,0.5587533482744952,0.746,0.0161004166205724,12000.0,0.5251122911771139,6.0,178146.0,True,,,,
pilot_xes3g5m_10_Random-Scalar_2024,xes3g5m,10,Random-Scalar,2024,ok,79fe6748a2c3e31bcb4404c3480ec21f5e050972cefe5c21dacee11b2c3b6a44,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5636335423801507,0.1884379643497013,0.5594005555145085,0.746,0.0149846897820631,12000.0,0.524690568447113,6.0,178146.0,True,,,,
pilot_xes3g5m_10_TrainEmpDiff_2024,xes3g5m,10,TrainEmpDiff,2024,ok,79fe6748a2c3e31bcb4404c3480ec21f5e050972cefe5c21dacee11b2c3b6a44,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.5639049388263799,0.188546819182805,0.5584410234578587,0.746,0.0164543740202984,12000.0,0.5252653161684672,6.0,178146.0,True,,,,
pilot_xes3g5m_20_Standard_2024,xes3g5m,20,Standard,2024,ok,493cd340fad13f96e8c9b8b803de831f23d77316113bd9b1f9fde12d70ca91a3,fc3f45acb904c3ce6e663b611314e1a67f8873506a1b291484a13704ed38fd5b,4c00bf83d5366117f90783ea7db718d69de256d5bdf1e1ed767380331eca7773,0.565108135459625,0.1890462102625499,0.5682284226871105,0.7453333333333333,0.0339158462857206,12000.0,0.5297117431958517,6.0,178145.0,True,,,,
