dataset,exposure,metric,condition_a,condition_b,mean_diff,ci_lo,ci_hi,cohens_d,n_seeds,p_value,p_value_holm
xes3g5m,3,brier,LLM-Mini,Standard,4.296067935232184e-05,-0.0007776607254413069,0.0008635820841459506,0.045887535128217416,5,0.9232117771667255,1.0
xes3g5m,3,log_loss,LLM-5.4,Standard,0.000397215955097896,-0.002171313510788935,0.0029657454209847268,0.13555380709563647,5,0.7769174155193942,1.0
xes3g5m,3,auc,LLM-5.4,Standard,-0.0017555897972440615,-0.005144719472469429,0.0016335398779813062,-0.45405117933198647,5,0.36738585183814876,1.0
xes3g5m,3,brier,LLM-5.4,Standard,-5.2230081404458505e-05,-0.0009155096523437507,0.0008110494895348338,-0.053031742663421304,5,0.911321755556659,1.0
xes3g5m,3,log_loss,LLM-Mini,Random-Scalar,0.00014441534270497324,1.0477419395590252e-05,0.0002783532660143562,0.9450448559730525,5,0.10210727989046224,1.0
xes3g5m,3,auc,LLM-Mini,Random-Scalar,-0.0023194410298156276,-0.004227028571307528,-0.0004118534883237276,-1.065780896700915,5,0.07572779994248836,1.0
xes3g5m,3,brier,LLM-Mini,Random-Scalar,5.6093785088218163e-05,1.9700172673134368e-06,0.00011021755290912288,0.90829613142375,5,0.1120416177265522,1.0
xes3g5m,3,log_loss,LLM-5.4,Random-Scalar,-0.00013728910791648284,-0.0002434156639041997,-3.116255192876598e-05,-1.1338280919825545,5,0.06428578374416327,1.0
xes3g5m,3,auc,LLM-5.4,Random-Scalar,-0.0015713576705211896,-0.0034328152955089555,0.00029009995446657635,-0.7399304837717323,5,0.17335992921977095,1.0
xes3g5m,3,brier,LLM-5.4,Random-Scalar,-3.9096975668562184e-05,-6.509831383665253e-05,-1.3095637500471841e-05,-1.317565310320986,5,0.04208813121542526,1.0
xes3g5m,3,log_loss,LLM-Mini,TrainEmpDiff,0.002185754328200162,0.001496881564771282,0.0028746270916290423,2.78117217804189,5,0.0034032455265963885,0.36074402581921716
xes3g5m,3,auc,LLM-Mini,TrainEmpDiff,-0.010909179099213495,-0.0126313301148668,-0.00918702808356019,-5.55251446163413,5,0.000241930907561788,0.02999943253766171
xes3g5m,3,brier,LLM-Mini,TrainEmpDiff,0.0007214288685090276,0.000505348404005837,0.0009375093330122182,2.926385015867436,5,0.002818746463685929,0.30269016641370927
xes3g5m,3,log_loss,LLM-5.4,TrainEmpDiff,0.0019040498775787062,0.001026867307776555,0.0027812324473808574,1.902633139321932,5,0.013111360163722843,1.0
xes3g5m,3,auc,LLM-5.4,TrainEmpDiff,-0.010161095739919057,-0.01192095917173908,-0.008401232308099034,-5.060931769859203,5,0.0003475397500731571,0.04239984950892516
xes3g5m,3,brier,LLM-5.4,TrainEmpDiff,0.0006262381077522472,0.00035477600734981944,0.000897700208154675,2.022028780828795,5,0.010645806078792923,1.0
